date,actual,arima_forecast,sarima_forecast
2019-10-04,0.7263394676794366,0.7016654742525429,0.7003732921348618
2019-10-07,0.7265515874883088,0.7017957009301117,0.7015129304234106
2019-10-08,0.7152674737335496,0.7011999163403945,0.702035669676231
2019-10-09,0.7264243274809821,0.7010858015341669,0.7019700330648808
2019-10-10,0.7394052682003276,0.7012239571704498,0.7015465907994505
2019-10-11,0.7653672217554264,0.7012550080605767,0.7019983262297245
2019-10-14,0.7639248426890854,0.7012392052926406,0.7017650552924245
2019-10-15,0.7615917156878658,0.7012279275454428,0.7016806876451286
2019-10-16,0.7575616302156685,0.7012298638193856,0.7029924292023222
2019-10-17,0.7614219960847748,0.7012325954017211,0.7028463977101812
2019-10-18,0.7662156373587903,0.701232635799641,0.7024302098544507
2019-10-21,0.7836083799401883,0.7012321015961522,0.7045699764815889
2019-10-22,0.7812752529389684,0.7012319924180134,0.7049274721244462
2019-10-23,0.7949348896585868,0.7012320905837112,0.7060579351709454
2019-10-24,0.7966317844974395,0.7012321303845026,0.7065818904477649
2019-10-25,0.8093582094442733,0.701232116864308,0.7065160937194078
2019-10-28,0.8198363035593079,0.7012321062896897,0.7060926572572079
2019-10-29,0.7954015252399709,0.7012321073012251,0.7065444571358023
2019-10-30,0.7952742694747856,0.7012321097354848,0.7063111639431112
2019-10-31,0.8186060485439808,0.7012321099459193,0.7062267741947983
2019-11-01,0.8485556194912292,0.7012321094736446,0.70753861731452
2019-11-04,0.8556823877664643,0.7012321093485366,0.7073925995497232
2019-11-05,0.8541128165670631,0.7012321094266907,0.7069762956433612
2019-11-06,0.8545793885163222,0.7012321094668428,0.7091160907088405
2019-11-07,0.8638696914539359,0.7012321094574048,0.7094735860309251
2019-11-08,0.8668817053518028,0.7012321094473561,0.7106040491227978
2019-11-11,0.8756205044222036,0.7012321094476145,0.7111280043936039
2019-11-12,0.8746023013414823,0.7012321094497815,0.7110622076660386
2019-11-13,0.8852501193017497,0.7012321094501055,0.7106387712038101
2019-11-14,0.8774870594741642,0.7012321094497063,0.7110905710820854
2019-11-15,0.890722520208163,0.7012321094495694,0.7108572778895046
2019-11-18,0.8964069730491819,0.7012321094496299,0.710772888141301
2019-11-19,0.8929708510399619,0.7012321094496693,0.7120847312605203
2019-11-20,0.8798201822332421,0.7012321094496634,0.7119387134956557
2019-11-21,0.874814489024621,0.7012321094496541,0.7115224095898675
2019-11-22,0.8738387497818054,0.7012321094496538,0.7136622046552061
2019-11-25,0.8933101629818945,0.7012321094496556,0.7140196999772923
2019-11-26,0.8844865677420728,0.7012321094496561,0.7151501630691648
2019-11-27,0.8995461154479845,0.7012321094496557,0.7156741183399709
2019-11-29,0.8970432688436738,0.7012321094496556,0.7156083216124055
2019-12-02,0.8839350681170017,0.7012321094496556,0.715184885150177
2019-12-03,0.863954614887606,0.7012321094496556,0.7156366850284525
2019-12-04,0.8736690259365727,0.7012321094496556,0.7154033918358715
2019-12-05,0.889958837142095,0.7012321094496556,0.715319002087668
2019-12-06,0.9117210407697471,0.7012321094496556,0.7166308452068872
2019-12-09,0.8956434172473635,0.7012321094496556,0.7164848274420226
2019-12-10,0.9022611497354338,0.7012321094496556,0.7160685235362344
2019-12-11,0.9119755607844005,0.7012321094496556,0.7182083186015731
2019-12-12,0.9149026470064556,0.7012321094496556,0.7185658139236593
2019-12-13,0.9305561624174858,0.7012321094496556,0.7196962770155317
2019-12-16,0.9505366114047398,0.7012321094496556,0.7202202322863378
2019-12-17,0.9528698699123508,0.7012321094496556,0.7201544355587725
2019-12-18,0.9500275756175747,0.7012321094496556,0.7197309990965439
2019-12-19,0.9512153710371376,0.7012321094496556,0.7201827989748194
2019-12-20,0.9487549840285912,0.7012321094496556,0.7199495057822385
2019-12-23,0.9680991414634952,0.7012321094496556,0.7198651160340349
2019-12-24,0.9692444730451519,0.7012321094496556,0.7211769591532542
2019-12-26,0.9931702155773241,0.7012321094496556,0.7210309413883895
2019-12-27,0.9927035121216736,0.7012321094496556,0.7206146374826014
2019-12-30,1.0,0.7012321094496556,0.72275443254794
